1,9.87,200
2,3.95,200
3,4.74,200
4,4.38,200
5,3.77,200
6,3.8,200
7,3.7,200
8,3.61,200
9,3.68,200
10,3.68,200
11,3.69,200
12,3.59,200
13,3.59,200
14,3.59,200
15,3.59,200
16,3.59,200
17,3.73,200
18,3.69,200
19,3.7,200
20,4.13,200
21,4.96,200
22,3.7,200
23,3.61,200
24,3.6,200
25,3.62,200
26,4.07,200
27,3.71,200
28,3.71,200
29,3.61,200
30,3.62,200
31,3.73,200
32,3.61,200
33,3.7,200
34,3.75,200
35,3.59,200
36,3.67,200
37,3.64,200
38,3.59,200
39,3.73,200
40,3.61,200
41,3.58,200
42,3.9,200
43,4.06,200
44,3.72,200
45,3.6,200
46,3.75,200
47,3.6,200
48,3.69,200
49,3.59,200
50,3.59,200
51,3.61,200
52,3.66,200
53,3.66,200
54,3.58,200
55,3.61,200
56,3.6,200
57,3.66,200
58,3.66,200
59,3.77,200
60,3.69,200
61,3.61,200
62,3.59,200
63,3.6,200
64,3.59,200
65,3.74,200
66,3.6,200
67,3.65,200
68,3.62,200
69,3.59,200
70,3.63,200
71,3.69,200
72,3.74,200
73,3.61,200
74,3.7,200
75,3.7,200
76,3.61,200
77,3.6,200
78,3.69,200
79,3.61,200
80,3.62,200
81,3.7,200
82,3.7,200
83,10.9,200
84,3.68,200
85,4.04,200
86,3.72,200
87,3.6,200
88,3.6,200
89,3.85,200
90,3.72,200
91,3.68,200
92,3.61,200
93,3.6,200
94,3.74,200
95,3.6,200
96,4.47,200
97,3.7,200
98,2.87,200
99,2.75,200
100,5.03,200
101,2.51,200
102,2.45,200
103,4.53,200
104,4.46,200
105,4.37,200
106,4.26,200
107,4.2,200
108,4.12,200
109,4.01,200
110,3.95,200
111,3.9,200
112,4.26,200
113,3.85,200
114,3.75,200
115,3.77,200
116,3.76,200
117,3.71,200
118,3.7,200
119,3.69,200
120,3.68,200
121,3.68,200
122,3.61,200
123,3.62,200
124,3.63,200
125,3.59,200
126,3.61,200
127,3.64,200
128,3.63,200
129,3.59,200
130,3.75,200
131,3.61,200
132,3.6,200
133,3.6,200
134,3.59,200
135,3.6,200
136,3.6,200
137,3.66,200
138,3.69,200
139,3.6,200
140,3.74,200
141,3.73,200
142,3.72,200
143,3.67,200
144,3.71,200
145,3.82,200
146,3.85,200
147,3.8,200
148,3.76,200
149,3.8,200
150,3.72,200
